source,target,year,weight
211,517,2000,4
211,517,2001,1
211,517,2002,0
211,517,2003,0
211,517,2004,0
211,517,2005,0
211,517,2006,0
211,517,2007,0
211,517,2008,0
211,517,2009,0
211,517,2010,1
211,517,2011,0
211,517,2012,0
211,517,2013,0
211,517,2014,0
211,519,2000,0
211,519,2001,0
211,519,2002,0
211,519,2003,0
211,519,2004,0
211,519,2005,0
211,519,2006,1
211,519,2007,0
211,519,2008,0
211,519,2009,0
211,519,2010,0
211,519,2011,0
211,519,2012,0
211,519,2013,0
211,519,2014,0
211,522,2000,0
211,522,2001,0
211,522,2002,0
211,522,2003,0
211,522,2004,0
211,522,2005,1
211,522,2006,0
211,522,2007,0
211,522,2008,0
211,522,2009,0
211,522,2010,0
211,522,2011,2
211,522,2012,0
211,522,2013,0
211,522,2014,1
211,523,2000,4
211,523,2001,2
211,523,2002,2
211,523,2003,0
211,523,2004,3
211,523,2005,4
211,523,2006,3
211,523,2007,1
211,523,2008,1
211,523,2009,2
211,523,2010,1
211,523,2011,2
211,523,2012,2
211,523,2013,0
211,523,2014,1
211,524,2000,0
211,524,2001,1
211,524,2002,1
211,524,2003,0
211,524,2004,0
211,524,2005,0
211,524,2006,1
211,524,2007,0
211,524,2008,0
211,524,2009,0
211,524,2010,1
211,524,2011,0
211,524,2012,0
211,524,2013,0
211,524,2014,0
211,525,2000,0
211,525,2001,0
211,525,2002,0
211,525,2003,0
211,525,2004,0
